tail_num,aircraft_manufacturer,aircraft_model,engine,first_flight
N101DU,Airbus,A220,2 x PW PW1524G,06/10/2018
N102DU,Airbus,A220,2 x PW PW1524G,07/12/2018
N103DU,Airbus,A220,2 x PW PW1524G,22/11/2018
N104DU,Airbus,A220,2 x PW PW1524G,20/12/2018
N105DU,Airbus,A220,2 x PW PW1524G,03/02/2019
N106DU,Airbus,A220,2 x PW PW1524G,09/02/2019
N107DU,Airbus,A220,2 x PW PW1524G,12/02/2019
N108DQ,Airbus,A220,2 x PW PW1524G,12/04/2019
N109DU,Airbus,A220,2 x PW PW1524G,23/02/2019
N110DU,Airbus,A220,2 x PW PW1524G,16/03/2019
N111NG,Airbus,A220,2 x PW PW1524G,25/05/2019
N112DU,Airbus,A220,2 x PW PW1524G,05/04/2019
N113DQ,Airbus,A220,2 x PW PW1524G,05/05/2019
N114DU,Airbus,A220,2 x PW PW1524G,21/05/2019
N115DU,Airbus,A220,2 x PW PW1524G,08/06/2019
N116DU,Airbus,A220,2 x PW PW1524G,08/06/2019
N117DU,Airbus,A220,2 x PW PW1524G,13/06/2019
N118DU,Airbus,A220,2 x PW PW1524G,24/06/2019
N119DU,Airbus,A220,2 x PW PW1524G,01/07/2019
N120DU,Airbus,A220,2 x PW PW1524G,11/07/2019
N121DU,Airbus,A220,2 x PW PW1524G,Unknown
N122DU,Airbus,A220,2 x PW PW1524G,20/08/2019
N123DQ,Airbus,A220,2 x PW PW1524G,07/09/2019
N124DU,Airbus,A220,2 x PW PW1524G,15/09/2019
N125DU,Airbus,A220,2 x PW PW1524G,24/09/2019
N126DU,Airbus,A220,2 x PW PW1524G,03/10/2019
N127DU,Airbus,A220,2 x PW PW1524G,23/10/2019
N128DU,Airbus,A220,2 x PW PW1524G,10/11/2019
N129DU,Airbus,A220,2 x PW PW1524G,15/01/2020
N130DU,Airbus,A220,2 x PW PW1524G,17/02/2020
N131DU,Airbus,A220,2 x PW PW1524G,25/02/2020
N62846,Airbus,A300,2 x GE CF6-50C2R,07/03/1975
N62576,Airbus,A300,2 x GE CF6-50C2R,23/04/1975
N6373Q,Airbus,A300,2 x GE CF6-50C2,23/10/1975
N715PA,Airbus,A300,2 x GE CF6-50C2,12/02/1976
N124AN,Airbus,A300,2 x GE CF6-50C2,03/03/1976
N128AN,Airbus,A300,2 x GE CF6-50C2,16/04/1976
N130AN,Airbus,A300,2 x GE CF6-50C2,04/06/1976
N203EA,Airbus,A300,2 x GE CF6-50C2R,13/05/1977
N7208Q,Airbus,A300,2 x GE CF6-50C2R,17/11/1977
N501TR,Airbus,A300,2 x GE CF6-50C2,16/08/1977
N202AP,Airbus,A300,,19/12/1978
N470AS,Airbus,A300,2 x GE CF6-50C2,10/10/1979
N361DH,Airbus,A300,2 x GE CF6-50C2R,17/12/1978
N224KW,Airbus,A300,2 x GE CF6-50C2,12/07/1979
N62683,Airbus,A300,2 x GE CF6-50C2,09/05/1979
N362DH,Airbus,A300,2 x GE CF6-50C2R,08/06/1979
N363DH,Airbus,A300,2 x GE CF6-50C2R,03/07/1979
N540RD,Airbus,A300,2 x GE CF6-50C2R,28/10/1980
N16982,Airbus,A300,2 x GE CF6-50C2,26/09/1979
N13983,Airbus,A300,2 x GE CF6-50C2,17/10/1979
N510TA,Airbus,A300,2 x GE CF6-50C2,21/01/1980
N102NC,Airbus,A300,2 x GE CF6-50C2R,08/02/1980
N59106,Airbus,A300,2 x GE CF6-50C2,21/03/1980
N11984,Airbus,A300,2 x GE CF6-50C2,11/04/1980
N11985,Airbus,A300,2 x GE CF6-50C2,04/09/1980
N68142,Airbus,A300,2 x GE CF6-50C2,03/04/1981
N143EV,Airbus,A300,2 x GE CF6-50C2,08/04/1981
N365DH,Airbus,A300,2 x GE CF6-50C2,27/05/1981
N832JM,Airbus,A300,2 x GE CF6-50C2,22/06/1981
N158GE,Airbus,A300,2 x GE CF6-50C2,03/09/1981
N161GE,Airbus,A300,2 x GE CF6-50C2,24/09/1981
N740RD,Airbus,A300,2 x GE CF6-50C2R,15/12/1981
N188SC,Airbus,A300,2 x GE CF6-50C2,13/04/1982
N506TA,Airbus,A300,2 x GE CF6-50C2,20/08/1982
N821SC,Airbus,A300,2 x GE CF6-50C2,15/09/1982
N504TA,Airbus,A300,2 x GE CF6-50C2,18/10/1982
N831JM,Airbus,A300,2 x GE CF6-50C2,05/11/1982
N833JM,Airbus,A300,2 x GE CF6-50C2,18/07/1983
N366DH,Airbus,A300,2 x GE CF6-50C2,23/06/1983
N367DH,Airbus,A300,2 x GE CF6-50C2,10/08/1983
N505TA,Airbus,A300,2 x GE CF6-50C2,01/09/1983
N716FD,Airbus,A300,,05/03/1986
N717FD,Airbus,A300,,05/09/1986
N718FD,Airbus,A300,,25/03/1987
N374FD,Airbus,A300,,02/10/1985
N719FD,Airbus,A300,,05/11/1986
N720FD,Airbus,A300,,01/06/1987
N14053,Airbus,A300,2 x GE CF6-80C2A5,09/12/1987
N91050,Airbus,A300,2 x GE CF6-80C2A5,10/02/1988
N50051,Airbus,A300,2 x GE CF6-80C2A5,04/03/1988
N80052,Airbus,A300,2 x GE CF6-80C2A5,22/03/1988
N70054,Airbus,A300,2 x GE CF6-80C2A5,15/04/1988
N7055A,Airbus,A300,2 x GE CF6-80C2A5,18/03/1988
N14056,Airbus,A300,2 x GE CF6-80C2A5,25/04/1988
N80057,Airbus,A300,2 x GE CF6-80C2A5,24/05/1988
N80058,Airbus,A300,2 x GE CF6-80C2A5,23/06/1988
N19059,Airbus,A300,2 x GE CF6-80C2A5,17/06/1988
N11060,Airbus,A300,2 x GE CF6-80C2A5,07/07/1988
N14061,Airbus,A300,2 x GE CF6-80C2A5,23/08/1988
N7062A,Airbus,A300,2 x GE CF6-80C2A5,08/09/1988
N721FD,Airbus,A300,2 x PW PW4158,03/10/1988
N722FD,Airbus,A300,2 x PW PW4158,20/09/1988
N41063,Airbus,A300,2 x GE CF6-80C2A5,16/11/1988
N40064,Airbus,A300,2 x GE CF6-80C2A5,23/11/1988
N14065,Airbus,A300,2 x GE CF6-80C2A5,06/12/1988
N18066,Airbus,A300,2 x GE CF6-80C2A5,22/12/1988
N8067A,Airbus,A300,2 x GE CF6-80C2A5,12/01/1989
N14068,Airbus,A300,2 x GE CF6-80C2A5,24/01/1989
N33069,Airbus,A300,2 x GE CF6-80C2A5,10/02/1989
N90070,Airbus,A300,2 x GE CF6-80C2A5,01/03/1989
N25071,Airbus,A300,2 x GE CF6-80C2A5,13/03/1989
N70072,Airbus,A300,2 x GE CF6-80C2A5,21/03/1989
N70073,Airbus,A300,2 x GE CF6-80C2A5,10/04/1989
N70074,Airbus,A300,2 x GE CF6-80C2A5,03/05/1989
N724FD,Airbus,A300,2 x PW PW4158,25/07/1989
N749FD,Airbus,A300,2 x PW PW4158,11/10/1989
N723FD,Airbus,A300,2 x PW PW4158,09/11/1989
N750FD,Airbus,A300,2 x PW PW4158,12/01/1990
N740FD,Airbus,A300,2 x PW PW4158,12/04/1990
N725FD,Airbus,A300,2 x PW PW4158,13/09/1990
N726FD,Airbus,A300,2 x PW PW4158,19/09/1990
N727FD,Airbus,A300,2 x PW PW4158,25/10/1990
N728FD,Airbus,A300,2 x PW PW4158,16/11/1990
N3075A,Airbus,A300,2 x GE CF6-80C2A5,08/03/1991
N7076A,Airbus,A300,2 x PW PW4158,06/05/1991
N741FD,Airbus,A300,2 x PW PW4158,24/05/1991
N14077,Airbus,A300,2 x GE CF6-80C2A5,05/06/1991
