"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-01","2.01",,"0.00","0.0","3.1","12","18","6",,"  130","  140","8.9","13.0","    1",,,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-02","3.36",,"0.00","0.0","3.1","13","20","8",,"  130","  130","8.9","12.1",,,,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-03","3.36",,"0.00","0.0","2.0","17","25","12",,"  130","  230","10.1","16.1","    1",,,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-04","1.12",,"0.02","0.1","2.0","23","32","19",,"  340","  190","8.9","12.1","    1",,,,,"    1",,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-05","3.58",,"0.11","0.1","3.1","31","39","29",,"   90","  300","12.1","17.0","    1","    1",,,,"    1",,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-06","1.34",,"0.00","0.0","2.0","32","37","26",,"  300","  300","14.1","15.0","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-07","1.57",,"0.00","0.0","2.0","30","41","24",,"  280","  280","10.1","12.1","    1","    1",,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-08","2.68",,"0.00","0.0","2.0","30","32","29",,"  180","  180","8.9","12.1","    1","    1",,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-09","3.36",,"0.00","0.0","1.2","31","33","30",,"  170","  170","10.1","14.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-10","0.89",,"0.00","0.0","0.0","31","34","29",,"  310","  310","6.9","8.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-11","1.34",,"0.01","0.0","0.0","33","34","31",,"  250","  250","6.9","6.9","    1","    1",,"    1",,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-12","5.82",,"0.11","0.8","1.2","33","35","30",,"  290","  290","13.0","14.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-13","3.13",,"0.00","0.0","0.0","31","37","28",,"  140","  130","12.1","14.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-14","8.50",,"0.00","0.0","0.0","32","34","28",,"  150","  150","18.1","23.0",,,,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-15","8.50",,"0.00","0.0","0.0","31","35","25",,"  150","  160","21.0","28.0",,,,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-16","6.49",,"0.34","0.1","0.0","36","42","31",,"  140","  130","21.0","25.9","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-17","3.80",,"0.06","0.0","0.0","34","43","29",,"  170","  180","15.0","19.9","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-18","6.04",,"0.13","0.0","0.0","42","50","35",,"  120","  120","21.9","28.0","    1","    1",,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-19","3.13",,"0.00","0.0","0.0","38","44","30",,"  320","  320","13.0","16.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-20","1.12",,"0.00","0.0","0.0","31","34","27",,"  220","  280","6.0","6.9","    1","    1",,,,,,"    1",,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-21","2.91",,"0.00","0.0","0.0","28","33","23",,"  190","  180","8.9","10.1","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-22","4.92",,"0.00","0.0","0.0","29","37","23",,"  150","  150","10.1","13.0","    1",,,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-23","4.25",,"0.00","0.0","0.0","31","40","26",,"  140","  140","18.1","23.0","    1","    1",,,,,,,,
"USW00024131","BOISE AIR TERMINAL, ID US","2015-01-24","2.01",,"0.00","0.0","0.0","33","40","29",,"  140","  160","10.1","14.1","    1",,,,,,,,,
