"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-01","10.51",,"0.00","0.0","3.1","18","30","11","  330","  330","19.9","25.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-02","6.93",,"0.00","0.0","3.1","17","28","6","  160","  160","16.1","19.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-03","12.53",,"0.00","0.1","3.1","26","33","12","  350","  340","29.1","35.1","    1",,,,,,"    1","    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-04","16.11",,"0.00","0.0","3.1","5","12","-7","  340","  340","25.9","34.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-05","7.16",,"0.06","0.5","3.1","-7","1","-11","  240","  280","15.0","19.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-06","12.75",,"0.00","0.0","3.1","0","8","-5","  320","  320","28.0","36.0",,,,,,,"    1","    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-07","13.65",,"0.00","0.0","3.1","-3","-1","-9","  320","  320","25.9","34.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-08","15.43",,"0.15","3.0","3.1","2","16","-6","  300","  310","31.1","42.9","    1",,,,,,,"    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-09","13.42",,"0.00","0.0","5.1","2","6","-4","  310","  300","29.1","35.1",,,,,,,"    1","    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-10","5.37",,"0.00","0.0","3.9","4","19","-4","  110","  100","12.1","17.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-11","4.70",,"0.00","0.1","3.9","9","14","3","   10","  310","12.1","19.9",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-12","7.38",,"0.00","0.0","3.9","4","5","-5","  350","  340","17.0","23.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-13","6.49",,"0.02","0.4","3.9","0","15","-10","  170","  170","14.1","18.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-14","6.71",,"0.01","0.2","3.9","18","24","15","  170","  220","12.1","16.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-15","8.05",,"0.00","0.0","3.9","26","35","19","  310","  310","21.9","25.9","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-16","10.51",,"0.00","0.0","3.9","28","30","27","  110","  100","19.9","25.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-17","10.51",,"0.00","0.0","3.1","31","38","26","  280","  310","25.1","33.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-18","7.16",,"0.00","0.0","3.1","33","39","25","  270","  270","14.1","19.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-19","7.83",,"0.01","0.1","2.0","30","37","22","  150","  150","16.1","21.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-20","6.93",,"0.05","0.8","2.0","31","32","28","   70","   50","12.1","17.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-21","8.05",,"0.01","0.1","2.0","28","30","26","  320","  330","15.0","21.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-22","8.50",,"0.00","0.0","2.0","24","30","18","  200","  210","15.0","21.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-23","8.72",,"0.00","0.0","2.0","31","39","29","  220","  210","16.1","23.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-24","4.92",,"0.00","0.0","2.0","33","42","29","   50","   50","15.0","19.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-25","9.62",,"0.03","0.1","1.2","29","35","20","   10","   30","19.9","25.9","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-26","10.07",,"0.00","0.0","1.2","30","45","22","  310","  290","19.9","23.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-27","7.38",,"0.00","0.0","0.0","34","36","30","  140","  150","15.0","19.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-28","10.96",,"0.00","0.0","0.0","30","31","28","  140","  150","18.1","23.9","    1",,,,,"    1","    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-29","16.55",,"0.00","0.0","0.0","30","34","15","  320","  330","25.9","35.1","    1",,,,,"    1",,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-30","6.93",,"0.00","0.0","0.0","18","27","11","  170","  170","14.1","19.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-01-31","8.28",,"0.00","0.0","0.0","25","28","19","   50","   30","21.0","30.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-01","15.21",,"0.02","0.5","0.0","18","21","5","   20","   40","23.0","29.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-02","6.93",,"0.00","0.0","0.0","7","16","0","  220","  210","14.1","19.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-03","2.46",,"0.06","1.5","0.0","11","16","6","  320","  350","10.1","18.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-04","11.41",,"0.01","0.4","2.0","13","15","-1","  300","  300","23.9","33.1","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-05","8.95",,"0.00","0.0","2.0","4","19","-7","  220","  220","25.1","32.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-06","6.71",,"0.00","0.0","1.2","18","30","13","  130","  110","12.1","16.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-07","7.61",,"0.00","0.0","1.2","26","36","20","  120","  120","17.0","19.9","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-08","10.51",,"0.00","0.0","0.0","30","32","23","   10","   20","16.1","23.9",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-09","5.82",,"0.00","0.0","0.0","25","33","20","   90","   60","10.1","19.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-10","10.51",,"0.13","0.8","0.0","24","29","22","  140","  120","23.0","31.1","    1",,,"    1",,"    1","    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-11","19.24",,"0.01","0.1","1.2","22","30","2","  320","  320","31.1","36.9","    1",,,,,,,"    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-12","7.38",,"0.00","0.0","1.2","3","10","-3","  340","  340","23.9","31.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-13","11.86",,"0.00","0.0","1.2","15","30","6","  310","  300","23.0","31.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-14","15.43",,"0.00","0.0","1.2","7","12","-3","  320","  350","31.1","42.1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-15","9.17",,"0.00","0.0","1.2","2","9","0","  130","  140","15.0","19.0",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-16","9.40",,"0.01","0.4","1.2","12","20","8","  300","  310","19.9","25.9",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-17","14.54",,"0.00","0.0","1.2","8","10","-2","  320","  310","25.1","32.0",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-02-18","14.54",,"0.00","0.0","1.2","-2","2","-9","  320","  310","23.0","28.0",,,,,,,"    1",
